index	label	network_label	label_7network	index_17network	label_17network	network_label_17network
1	LH_Vis_1	Vis	7Networks_LH_Vis_1	48	17Networks_LH_DorsAttnA_TempOcc_1	DorsAttnA
2	LH_Vis_2	Vis	7Networks_LH_Vis_2	144	17Networks_LH_DefaultC_PHC_2	DefaultC
3	LH_Vis_3	Vis	7Networks_LH_Vis_3	1	17Networks_LH_VisCent_ExStr_1	VisCent
4	LH_Vis_4	Vis	7Networks_LH_Vis_4	12	17Networks_LH_VisPeri_ExStrInf_1	VisPeri
5	LH_Vis_5	Vis	7Networks_LH_Vis_5	2	17Networks_LH_VisCent_ExStr_2	VisCent
6	LH_Vis_6	Vis	7Networks_LH_Vis_6	3	17Networks_LH_VisCent_ExStr_3	VisCent
7	LH_Vis_7	Vis	7Networks_LH_Vis_7	145	17Networks_LH_DefaultC_PHC_3	DefaultC
8	LH_Vis_8	Vis	7Networks_LH_Vis_8	4	17Networks_LH_VisCent_ExStr_4	VisCent
9	LH_Vis_9	Vis	7Networks_LH_Vis_9	13	17Networks_LH_VisPeri_ExStrInf_2	VisPeri
10	LH_Vis_10	Vis	7Networks_LH_Vis_10	14	17Networks_LH_VisPeri_ExStrInf_3	VisPeri
11	LH_Vis_11	Vis	7Networks_LH_Vis_11	5	17Networks_LH_VisCent_ExStr_5	VisCent
12	LH_Vis_12	Vis	7Networks_LH_Vis_12	15	17Networks_LH_VisPeri_ExStrInf_4	VisPeri
13	LH_Vis_13	Vis	7Networks_LH_Vis_13	6	17Networks_LH_VisCent_ExStr_6	VisCent
14	LH_Vis_14	Vis	7Networks_LH_Vis_14	7	17Networks_LH_VisCent_Striate_1	VisCent
15	LH_Vis_15	Vis	7Networks_LH_Vis_15	8	17Networks_LH_VisCent_ExStr_7	VisCent
16	LH_Vis_16	Vis	7Networks_LH_Vis_16	16	17Networks_LH_VisPeri_StriCal_1	VisPeri
17	LH_Vis_17	Vis	7Networks_LH_Vis_17	17	17Networks_LH_VisPeri_ExStrSup_1	VisPeri
